bibtex_authors;author;year;title;bibtex_key;mentioned_group;mentioned_factor;mentioned_metric;static_and_demand_oriented;core_aspect;arg_code_1;arg_code_2;arg_code_3
Anderson, John E. and Lehne, Marius and Hardinghaus, Michael;Anderson et al.;2018;What electric vehicle users want: Real-world preferences for public charging infrastructure;Anderson.2018;;POI;;1;POI;AcPOI;;
Anderson, John E. and Lehne, Marius and Hardinghaus, Michael;Anderson et al.;2018;What electric vehicle users want: Real-world preferences for public charging infrastructure;Anderson.2018;;regional structure;;1;Land Use;Ac;QuAt;
Anderson, John E. and Lehne, Marius and Hardinghaus, Michael;Anderson et al.;2018;What electric vehicle users want: Real-world preferences for public charging infrastructure;Anderson.2018;;road type;;1;Surrounding Street Network;QuRe;Ac;
Anderson, John E. and Lehne, Marius and Hardinghaus, Michael;Anderson et al.;2018;What electric vehicle users want: Real-world preferences for public charging infrastructure;Anderson.2018;;accessibility;;1;Accessibility;Qu ;AvAR;
Andrenacci, N. and Ragona, R. and Valenti, G.;Andrenacci et al.;2016;A demand-side approach to the optimal deployment of electric vehicle charging stations in metropolitan areas;Andrenacci.2016;;energy request;daily energy request;0;;Ac;;
Andrenacci, N. and Ragona, R. and Valenti, G.;Andrenacci et al.;2016;A demand-side approach to the optimal deployment of electric vehicle charging stations in metropolitan areas;Andrenacci.2016;;energy request;daily finished trips at destination cluster;0;;Ac;;
Bi, Ran and Xiao, Jiajian and Pelzer, Dominik and Ciechanowicz, David and Eckhoff, David and Knoll, Alois;Bi et al.;2017;A simulation-based heuristic for city-scale electric vehicle charging station placement;Bi.2017;;natural parking locations;;1;Dwell Characteristics;Ac;;
Bi, Ran and Xiao, Jiajian and Pelzer, Dominik and Ciechanowicz, David and Eckhoff, David and Knoll, Alois;Bi et al.;2017;A simulation-based heuristic for city-scale electric vehicle charging station placement;Bi.2017;;other charging stations;;1;Other CIS;AvCo;;
Bian, Caiyun and Li, Hailong and Wallin, Fredrik and Avelin, Anders and Lin, Lu and Yu, Zhixin;Bian et al.;2019;Finding the optimal location for public charging stations -- a GIS-based MILP approach;Bian.2019;;total profit;;0;;;;
Bian, Caiyun and Li, Hailong and Wallin, Fredrik and Avelin, Anders and Lin, Lu and Yu, Zhixin;Bian et al.;2019;Finding the optimal location for public charging stations -- a GIS-based MILP approach;Bian.2019;;total cost of charging station;;0;;;;
